"","labs","rows"
"6295","Avg Speed","5.9 mph"
"6296","Avg Moving Speed","5.9 mph"
"6297","Max Speed","7.7 mph"
"6298","Total Ascent","153.1 ft"
"6299","Total Descent","56.6 ft"
"6300","Min Elev","637.4 ft"
"6301","Max Elev","741.5 ft"
"6302","Avg Run Cadence","142 spm"
"6303","Max Run Cadence","160 spm"
"6304","Avg Stride Length","1.13 m"
"6305","title","Athens Running"
"6306","Distance","3.11 mi"
"6307","Calories Burned","332 C"
"6308","Calories Consumed","-- C"
"6309","Calories Net","-332 C"
"6310","Est. Sweat Loss","121 ml"
"6311","Fluid Consumed","-- ml"
"6312","Fluid Net","-121 ml"
"6313","Aerobic","3.2 Impacting"
"6314","Anaerobic","0.6 No Benefit"
"6315","Avg HR","167 bpm"
"6316","Max HR","182 bpm"
"6317","Time","20:19"
"6318","Moving Time","20:17"
"6319","Elapsed Time","20:25"
"6320","Avg Speed","9.2 mph"
"6321","Avg Moving Speed","9.2 mph"
"6322","Max Speed","10.5 mph"
"6323","Total Ascent","127.3 ft"
"6324","Total Descent","71.3 ft"
"6325","Min Elev","635.7 ft"
"6326","Max Elev","741.5 ft"
"6327","Avg Run Cadence","162 spm"
"6328","Max Run Cadence","172 spm"
"6329","Avg Stride Length","1.52 m"
"6330","title","Athens Running"
"6331","Distance","7.01 mi"
"6332","Calories Burned","844 C"
"6333","Calories Consumed","-- C"
"6334","Calories Net","-844 C"
"6335","Est. Sweat Loss","335 ml"
"6336","Fluid Consumed","-- ml"
"6337","Fluid Net","-335 ml"
"6338","Aerobic","3.8 Impacting"
"6339","Anaerobic","0.1 No Benefit"
"6340","Avg HR","161 bpm"
"6341","Max HR","174 bpm"
"6342","Time","55:54"
"6343","Moving Time","55:45"
"6344","Elapsed Time","56:25"
"6345","Avg Speed","7.5 mph"
"6346","Avg Moving Speed","7.5 mph"
"6347","Max Speed","8.6 mph"
"6348","Total Ascent","437.8 ft"
"6349","Total Descent","357.1 ft"
"6350","Min Elev","630.0 ft"
"6351","Max Elev","754.4 ft"
"6352","Avg Run Cadence","147 spm"
"6353","Max Run Cadence","163 spm"
"6354","Avg Stride Length","1.37 m"
"6355","title","Athens Running"
"6356","Distance","3.23 mi"
"6357","Calories Burned","431 C"
"6358","Calories Consumed","-- C"
"6359","Calories Net","-431 C"
"6360","Est. Sweat Loss","191 ml"
"6361","Fluid Consumed","-- ml"
"6362","Fluid Net","-191 ml"
"6363","Aerobic","2.6 Maintaining"
"6364","Anaerobic","0.0 No Benefit"
"6365","Avg HR","145 bpm"
"6366","Max HR","165 bpm"
"6367","Time","31:58"
"6368","Moving Time","31:57"
"6369","Elapsed Time","31:58"
"6370","Avg Speed","6.1 mph"
"6371","Avg Moving Speed","6.1 mph"
"6372","Max Speed","7.4 mph"
"6373","Total Ascent","130.5 ft"
"6374","Total Descent","87.5 ft"
"6375","Min Elev","639.8 ft"
"6376","Max Elev","741.5 ft"
"6377","Avg Run Cadence","144 spm"
"6378","Max Run Cadence","155 spm"
"6379","Avg Stride Length","1.13 m"
"6380","title","Athens Running"
"6381","Distance","7.00 mi"
"6382","Calories Burned","898 C"
"6383","Calories Consumed","-- C"
"6384","Calories Net","-898 C"
"6385","Est. Sweat Loss","342 ml"
"6386","Fluid Consumed","-- ml"
"6387","Fluid Net","-342 ml"
"6388","Aerobic","4.0 Highly Impacting"
"6389","Anaerobic","0.3 No Benefit"
"6390","Avg HR","162 bpm"
"6391","Max HR","179 bpm"
"6392","Time","56:59"
"6393","Moving Time","56:54"
"6394","Elapsed Time","57:25"
"6395","Avg Speed","7.4 mph"
"6396","Avg Moving Speed","7.4 mph"
"6397","Max Speed","8.4 mph"
"6398","Total Ascent","354.1 ft"
"6399","Total Descent","294.5 ft"
"6400","Min Elev","630.2 ft"
"6401","Max Elev","753.7 ft"
"6402","Avg Run Cadence","149 spm"
"6403","Max Run Cadence","162 spm"
"6404","Avg Stride Length","1.33 m"
"6405","title","Barrow County Running"
"6406","Distance","10.74 mi"
"6407","Calories Burned","1,425 C"
"6408","Calories Consumed","-- C"
"6409","Calories Net","-1,425 C"
"6410","Est. Sweat Loss","590 ml"
"6411","Fluid Consumed","-- ml"
"6412","Fluid Net","-590 ml"
"6413","Aerobic","4.4 Highly Impacting"
"6414","Anaerobic","0.1 No Benefit"
"6415","Avg HR","161 bpm"
"6416","Max HR","176 bpm"
"6417","Time","1:33:30"
"6418","Moving Time","1:33:26"
"6419","Elapsed Time","1:36:56"
"6420","Avg Speed","6.9 mph"
"6421","Avg Moving Speed","6.9 mph"
"6422","Max Speed","8.7 mph"
"6423","Total Ascent","639.1 ft"
"6424","Total Descent","606.0 ft"
"6425","Min Elev","831.7 ft"
"6426","Max Elev","956.8 ft"
"6427","Avg Run Cadence","151 spm"
"6428","Max Run Cadence","166 spm"
"6429","Avg Stride Length","1.23 m"
"6430","title","Athens Running"
"6431","Distance","3.01 mi"
"6432","Calories Burned","387 C"
"6433","Calories Consumed","-- C"
"6434","Calories Net","-387 C"
"6435","Est. Sweat Loss","174 ml"
"6436","Fluid Consumed","-- ml"
"6437","Fluid Net","-174 ml"
"6438","Aerobic","2.4 Maintaining"
"6439","Anaerobic","0.0 No Benefit"
"6440","Avg HR","144 bpm"
"6441","Max HR","165 bpm"
"6442","Time","29:06"
"6443","Moving Time","29:06"
"6444","Elapsed Time","29:06"
"6445","Avg Speed","6.2 mph"
"6446","Avg Moving Speed","6.2 mph"
"6447","Max Speed","7.2 mph"
"6448","Total Ascent","125.5 ft"
"6449","Total Descent","57.0 ft"
"6450","Min Elev","631.7 ft"
"6451","Max Elev","741.5 ft"
"6452","Avg Run Cadence","144 spm"
"6453","Max Run Cadence","155 spm"
"6454","Avg Stride Length","1.16 m"
"6455","title","Athens Running"
"6456","Distance","3.53 mi"
"6457","Calories Burned","443 C"
"6458","Calories Consumed","-- C"
"6459","Calories Net","-443 C"
"6460","Est. Sweat Loss","170 ml"
"6461","Fluid Consumed","-- ml"
"6462","Fluid Net","-170 ml"
"6463","Aerobic","3.2 Impacting"
"6464","Anaerobic","0.0 No Benefit"
"6465","Avg HR","158 bpm"
"6466","Max HR","175 bpm"
"6467","Time","28:29"
"6468","Moving Time","28:27"
"6469","Elapsed Time","28:29"
"6470","Avg Speed","7.4 mph"
"6471","Avg Moving Speed","7.4 mph"
"6472","Max Speed","8.5 mph"
"6473","Total Ascent","120.1 ft"
"6474","Total Descent","86.8 ft"
"6475","Min Elev","634.9 ft"
"6476","Max Elev","741.5 ft"
"6477","Avg Run Cadence","149 spm"
"6478","Max Run Cadence","165 spm"
"6479","Avg Stride Length","1.34 m"
"6480","title","Athens Running"
"6481","Distance","4.01 mi"
"6482","Calories Burned","491 C"
"6483","Calories Consumed","-- C"
"6484","Calories Net","-491 C"
"6485","Est. Sweat Loss","181 ml"
"6486","Fluid Consumed","-- ml"
"6487","Fluid Net","-181 ml"
"6488","Aerobic","3.5 Impacting"
"6489","Anaerobic","1.2 Some Benefit"
"6490","Avg HR","163 bpm"
"6491","Max HR","185 bpm"
"6492","Time","30:14"
"6493","Moving Time","30:13"
"6494","Elapsed Time","30:14"
"6495","Avg Speed","7.9 mph"
"6496","Avg Moving Speed","8.0 mph"
"6497","Max Speed","10.1 mph"
"6498","Total Ascent","240.0 ft"
"6499","Total Descent","202.5 ft"
"6500","Min Elev","634.3 ft"
"6501","Max Elev","741.5 ft"
"6502","Avg Run Cadence","153 spm"
"6503","Max Run Cadence","165 spm"
"6504","Avg Stride Length","1.40 m"
"6505","title","Athens Running"
"6506","Distance","4.01 mi"
"6507","Calories Burned","497 C"
"6508","Calories Consumed","-- C"
"6509","Calories Net","-497 C"
"6510","Est. Sweat Loss","198 ml"
"6511","Fluid Consumed","-- ml"
"6512","Fluid Net","-198 ml"
"6513","Aerobic","3.1 Impacting"
"6514","Anaerobic","0.1 No Benefit"
"6515","Avg HR","154 bpm"
"6516","Max HR","171 bpm"
"6517","Time","33:00"
"6518","Moving Time","32:58"
"6519","Elapsed Time","33:00"
"6520","Avg Speed","7.3 mph"
"6521","Avg Moving Speed","7.3 mph"
"6522","Max Speed","8.1 mph"
"6523","Total Ascent","225.4 ft"
"6524","Total Descent","136.0 ft"
"6525","Min Elev","636.5 ft"
"6526","Max Elev","741.5 ft"
"6527","Avg Run Cadence","148 spm"
"6528","Max Run Cadence","165 spm"
"6529","Avg Stride Length","1.32 m"
"6530","title","Athens Running"
"6531","Distance","7.01 mi"
"6532","Calories Burned","935 C"
"6533","Calories Consumed","-- C"
"6534","Calories Net","-935 C"
"6535","Est. Sweat Loss","404 ml"
"6536","Fluid Consumed","-- ml"
"6537","Fluid Net","-404 ml"
"6538","Aerobic","3.3 Impacting"
"6539","Anaerobic","0.0 No Benefit"
"6540","Avg HR","151 bpm"
"6541","Max HR","172 bpm"
"6542","Time","1:07:29"
"6543","Moving Time","1:07:24"
"6544","Elapsed Time","1:07:41"
"6545","Avg Speed","6.2 mph"
"6546","Avg Moving Speed","6.2 mph"
"6547","Max Speed","8.3 mph"
"6548","Total Ascent","424.3 ft"
"6549","Total Descent","357.2 ft"
"6550","Min Elev","630.0 ft"
"6551","Max Elev","751.8 ft"
"6552","Avg Run Cadence","144 spm"
"6553","Max Run Cadence","165 spm"
"6554","Avg Stride Length","1.16 m"
"6555","title","Athens Running"
"6556","Distance","4.01 mi"
"6557","Calories Burned","502 C"
"6558","Calories Consumed","-- C"
"6559","Calories Net","-502 C"
"6560","Est. Sweat Loss","188 ml"
"6561","Fluid Consumed","-- ml"
"6562","Fluid Net","-188 ml"
"6563","Aerobic","3.4 Impacting"
"6564","Anaerobic","0.7 No Benefit"
"6565","Avg HR","161 bpm"
"6566","Max HR","187 bpm"
"6567","Time","31:25"
"6568","Moving Time","31:24"
"6569","Elapsed Time","31:25"
"6570","Avg Speed","7.7 mph"
"6571","Avg Moving Speed","7.7 mph"
"6572","Max Speed","9.1 mph"
"6573","Total Ascent","203.8 ft"
"6574","Total Descent","113.1 ft"
"6575","Min Elev","636.3 ft"
"6576","Max Elev","741.5 ft"
"6577","Avg Run Cadence","150 spm"
"6578","Max Run Cadence","160 spm"
"6579","Avg Stride Length","1.37 m"
"6580","title","Athens Running"
"6581","Distance","10.00 mi"
"6582","Calories Burned","1,269 C"
"6583","Calories Consumed","-- C"
"6584","Calories Net","-1,269 C"
"6585","Est. Sweat Loss","484 ml"
"6586","Fluid Consumed","-- ml"
"6587","Fluid Net","-484 ml"
"6588","Aerobic","4.3 Highly Impacting"
"6589","Anaerobic","0.2 No Benefit"
"6590","Avg HR","162 bpm"
"6591","Max HR","181 bpm"
"6592","Time","1:20:49"
"6593","Moving Time","1:20:42"
"6594","Elapsed Time","1:20:51"
"6595","Avg Speed","7.4 mph"
"6596","Avg Moving Speed","7.4 mph"
"6597","Max Speed","9.7 mph"
"6598","Total Ascent","490.4 ft"
"6599","Total Descent","509.0 ft"
"6600","Min Elev","630.8 ft"
"6601","Max Elev","741.5 ft"
"6602","Avg Run Cadence","148 spm"
"6603","Max Run Cadence","167 spm"
"6604","Avg Stride Length","1.35 m"
"6605","title","Athens Running"
"6606","Distance","7.01 mi"
"6607","Calories Burned","876 C"
"6608","Calories Consumed","-- C"
"6609","Calories Net","-876 C"
"6610","Est. Sweat Loss","316 ml"
"6611","Fluid Consumed","-- ml"
"6612","Fluid Net","-316 ml"
"6613","Aerobic","4.3 Highly Impacting"
"6614","Anaerobic","0.0 No Benefit"
"6615","Avg HR","168 bpm"
"6616","Max HR","178 bpm"
"6617","Time","52:50"
"6618","Moving Time","52:44"
"6619","Elapsed Time","53:13"
"6620","Avg Speed","8.0 mph"
"6621","Avg Moving Speed","8.0 mph"
"6622","Max Speed","10.0 mph"
"6623","Total Ascent","445.2 ft"
"6624","Total Descent","348.3 ft"
"6625","Min Elev","634.7 ft"
"6626","Max Elev","741.5 ft"
"6627","Avg Run Cadence","151 spm"
"6628","Max Run Cadence","173 spm"
"6629","Avg Stride Length","1.42 m"
"6630","title","Athens Running"
"6631","Distance","3.01 mi"
"6632","Calories Burned","366 C"
"6633","Calories Consumed","-- C"
"6634","Calories Net","-366 C"
"6635","Est. Sweat Loss","141 ml"
"6636","Fluid Consumed","-- ml"
"6637","Fluid Net","-141 ml"
"6638","Aerobic","3.1 Impacting"
"6639","Anaerobic","0.0 No Benefit"
"6640","Avg HR","156 bpm"
"6641","Max HR","178 bpm"
"6642","Time","23:34"
"6643","Moving Time","23:34"
"6644","Elapsed Time","23:34"
"6645","Avg Speed","7.7 mph"
"6646","Avg Moving Speed","7.7 mph"
"6647","Max Speed","8.4 mph"
"6648","Total Ascent","17.6 ft"
"6649","Total Descent","28.8 ft"
"6650","Min Elev","600.4 ft"
"6651","Max Elev","628.2 ft"
"6652","Avg Run Cadence","150 spm"
"6653","Max Run Cadence","162 spm"
"6654","Avg Stride Length","1.37 m"
"6655","title","Athens Running"
"6656","Distance","4.36 mi"
"6657","Calories Burned","529 C"
"6658","Calories Consumed","-- C"
"6659","Calories Net","-529 C"
"6660","Est. Sweat Loss","193 ml"
"6661","Fluid Consumed","-- ml"
"6662","Fluid Net","-193 ml"
"6663","Aerobic","3.6 Impacting"
"6664","Anaerobic","0.0 No Benefit"
"6665","Avg HR","165 bpm"
"6666","Max HR","180 bpm"
"6667","Time","32:15"
"6668","Moving Time","32:14"
"6669","Elapsed Time","32:47"
"6670","Avg Speed","8.1 mph"
"6671","Avg Moving Speed","8.1 mph"
"6672","Max Speed","9.7 mph"
"6673","Total Ascent","230.0 ft"
"6674","Total Descent","183.8 ft"
"6675","Min Elev","658.1 ft"
"6676","Max Elev","760.4 ft"
"6677","Avg Run Cadence","151 spm"
"6678","Max Run Cadence","169 spm"
"6679","Avg Stride Length","1.44 m"
"6680","title","Athens Running"
"6681","Distance","4.01 mi"
"6682","Calories Burned","512 C"
"6683","Calories Consumed","-- C"
"6684","Calories Net","-512 C"
"6685","Est. Sweat Loss","175 ml"
"6686","Fluid Consumed","-- ml"
"6687","Fluid Net","-175 ml"
"6688","Aerobic","4.0 Highly Impacting"
"6689","Anaerobic","0.6 No Benefit"
"6690","Avg HR","175 bpm"
"6691","Max HR","188 bpm"
"6692","Time","29:14"
"6693","Moving Time","29:14"
"6694","Elapsed Time","29:14"
"6695","Avg Speed","8.2 mph"
"6696","Avg Moving Speed","8.2 mph"
"6697","Max Speed","9.4 mph"
"6698","Total Ascent","235.7 ft"
"6699","Total Descent","118.4 ft"
"6700","Min Elev","616.6 ft"
"6701","Max Elev","741.5 ft"
"6702","Avg Run Cadence","148 spm"
"6703","Max Run Cadence","188 spm"
"6704","Avg Stride Length","1.49 m"
"6705","title","Athens Running"
"6706","Distance","6.01 mi"
"6707","Calories Burned","707 C"
"6708","Calories Consumed","-- C"
"6709","Calories Net","-707 C"
"6710","Est. Sweat Loss","260 ml"
"6711","Fluid Consumed","-- ml"
"6712","Fluid Net","-260 ml"
"6713","Aerobic","3.9 Impacting"
"6714","Anaerobic","0.0 No Benefit"
"6715","Avg HR","165 bpm"
"6716","Max HR","178 bpm"
"6717","Time","43:23"
"6718","Moving Time","43:14"
"6719","Elapsed Time","44:02"
"6720","Avg Speed","8.3 mph"
"6721","Avg Moving Speed","8.3 mph"
"6722","Max Speed","10.1 mph"
"6723","Total Ascent","469.4 ft"
"6724","Total Descent","454.0 ft"
"6725","Min Elev","628.9 ft"
"6726","Max Elev","780.8 ft"
"6727","Avg Run Cadence","154 spm"
"6728","Max Run Cadence","167 spm"
"6729","Avg Stride Length","1.44 m"
"6730","title","Athens Running"
"6731","Distance","4.00 mi"
"6732","Calories Burned","523 C"
"6733","Calories Consumed","-- C"
"6734","Calories Net","-523 C"
"6735","Est. Sweat Loss","193 ml"
"6736","Fluid Consumed","-- ml"
"6737","Fluid Net","-193 ml"
"6738","Aerobic","3.4 Impacting"
"6739","Anaerobic","0.0 No Benefit"
"6740","Avg HR","163 bpm"
"6741","Max HR","174 bpm"
"6742","Time","32:18"
"6743","Moving Time","32:16"
"6744","Elapsed Time","32:18"
"6745","Avg Speed","7.4 mph"
"6746","Avg Moving Speed","7.4 mph"
"6747","Max Speed","8.9 mph"
"6748","Total Ascent","209.8 ft"
"6749","Total Descent","109.3 ft"
"6750","Min Elev","634.7 ft"
"6751","Max Elev","741.5 ft"
"6752","Avg Run Cadence","148 spm"
"6753","Max Run Cadence","164 spm"
"6754","Avg Stride Length","1.35 m"
"6755","title","Athens Running"
"6756","Distance","14.01 mi"
"6757","Calories Burned","1,672 C"
"6758","Calories Consumed","-- C"
"6759","Calories Net","-1,672 C"
"6760","Est. Sweat Loss","701 ml"
"6761","Fluid Consumed","-- ml"
"6762","Fluid Net","-701 ml"
"6763","Aerobic","4.2 Highly Impacting"
"6764","Anaerobic","0.3 No Benefit"
"6765","Avg HR","157 bpm"
"6766","Max HR","177 bpm"
"6767","Time","1:56:57"
"6768","Moving Time","1:56:12"
"6769","Elapsed Time","2:03:20"
"6770","Avg Speed","7.2 mph"
"6771","Avg Moving Speed","7.2 mph"
"6772","Max Speed","9.5 mph"
"6773","Total Ascent","742.5 ft"
"6774","Total Descent","758.4 ft"
"6775","Min Elev","580.7 ft"
"6776","Max Elev","780.8 ft"
"6777","Avg Run Cadence","146 spm"
"6778","Max Run Cadence","173 spm"
"6779","Avg Stride Length","1.32 m"
"6780","title","Athens Running"
"6781","Distance","5.00 mi"
"6782","Calories Burned","607 C"
"6783","Calories Consumed","-- C"
"6784","Calories Net","-607 C"
"6785","Est. Sweat Loss","225 ml"
"6786","Fluid Consumed","-- ml"
"6787","Fluid Net","-225 ml"
"6788","Aerobic","3.6 Impacting"
"6789","Anaerobic","0.0 No Benefit"
"6790","Avg HR","162 bpm"
"6791","Max HR","179 bpm"
"6792","Time","37:38"
"6793","Moving Time","37:35"
"6794","Elapsed Time","37:38"
"6795","Avg Speed","8.0 mph"
"6796","Avg Moving Speed","8.0 mph"
"6797","Max Speed","10.4 mph"
"6798","Total Ascent","246.9 ft"
"6799","Total Descent","213.5 ft"
"6800","Min Elev","657.4 ft"
"6801","Max Elev","760.4 ft"
"6802","Avg Run Cadence","152 spm"
"6803","Max Run Cadence","164 spm"
"6804","Avg Stride Length","1.41 m"
"6805","title","Athens Running"
"6806","Distance","6.23 mi"
"6807","Calories Burned","767 C"
"6808","Calories Consumed","-- C"
"6809","Calories Net","-767 C"
"6810","Est. Sweat Loss","268 ml"
"6811","Fluid Consumed","-- ml"
"6812","Fluid Net","-268 ml"
"6813","Aerobic","4.3 Highly Impacting"
"6814","Anaerobic","0.0 No Benefit"
"6815","Avg HR","172 bpm"
"6816","Max HR","183 bpm"
"6817","Time","44:46"
"6818","Moving Time","44:35"
"6819","Elapsed Time","45:08"
"6820","Avg Speed","8.3 mph"
"6821","Avg Moving Speed","8.4 mph"
"6822","Max Speed","9.5 mph"
"6823","Total Ascent","383.1 ft"
"6824","Total Descent","367.1 ft"
"6825","Min Elev","635.9 ft"
"6826","Max Elev","741.5 ft"
"6827","Avg Run Cadence","151 spm"
"6828","Max Run Cadence","162 spm"
"6829","Avg Stride Length","1.48 m"
"6830","title","Athens Running"
"6831","Distance","3.60 mi"
"6832","Calories Burned","459 C"
"6833","Calories Consumed","-- C"
"6834","Calories Net","-459 C"
"6835","Est. Sweat Loss","176 ml"
"6836","Fluid Consumed","-- ml"
"6837","Fluid Net","-176 ml"
"6838","Aerobic","3.1 Impacting"
"6839","Anaerobic","0.0 No Benefit"
"6840","Avg HR","156 bpm"
"6841","Max HR","168 bpm"
"6842","Time","29:28"
"6843","Moving Time","29:26"
"6844","Elapsed Time","29:28"
"6845","Avg Speed","7.3 mph"
"6846","Avg Moving Speed","7.3 mph"
"6847","Max Speed","8.2 mph"
"6848","Total Ascent","113.9 ft"
"6849","Total Descent","102.5 ft"
"6850","Min Elev","634.7 ft"
"6851","Max Elev","741.5 ft"
"6852","Avg Run Cadence","147 spm"
"6853","Max Run Cadence","157 spm"
"6854","Avg Stride Length","1.34 m"
"6855","title","Athens Running"
"6856","Distance","7.34 mi"
"6857","Calories Burned","893 C"
"6858","Calories Consumed","-- C"
"6859","Calories Net","-893 C"
"6860","Est. Sweat Loss","329 ml"
"6861","Fluid Consumed","-- ml"
"6862","Fluid Net","-329 ml"
"6863","Aerobic","4.0 Highly Impacting"
"6864","Anaerobic","1.0 Some Benefit"
"6865","Avg HR","165 bpm"
"6866","Max HR","180 bpm"
"6867","Time","54:51"
"6868","Moving Time","54:48"
"6869","Elapsed Time","55:28"
"6870","Avg Speed","8.0 mph"
"6871","Avg Moving Speed","8.0 mph"
"6872","Max Speed","11.1 mph"
"6873","Total Ascent","415.5 ft"
"6874","Total Descent","408.8 ft"
"6875","Min Elev","630.3 ft"
"6876","Max Elev","780.8 ft"
"6877","Avg Run Cadence","152 spm"
"6878","Max Run Cadence","182 spm"
"6879","Avg Stride Length","1.42 m"
"6880","title","Athens Running"
"6881","Distance","12.01 mi"
"6882","Calories Burned","1,389 C"
"6883","Calories Consumed","-- C"
"6884","Calories Net","-1,389 C"
"6885","Est. Sweat Loss","646 ml"
"6886","Fluid Consumed","-- ml"
"6887","Fluid Net","-646 ml"
"6888","Aerobic","3.8 Impacting"
"6889","Anaerobic","0.0 No Benefit"
"6890","Avg HR","153 bpm"
"6891","Max HR","173 bpm"
"6892","Time","1:47:52"
"6893","Moving Time","1:47:32"
"6894","Elapsed Time","1:55:37"
"6895","Avg Speed","6.7 mph"
"6896","Avg Moving Speed","6.7 mph"
"6897","Max Speed","8.9 mph"
"6898","Total Ascent","671.4 ft"
"6899","Total Descent","644.6 ft"
"6900","Min Elev","580.7 ft"
"6901","Max Elev","780.8 ft"
"6902","Avg Run Cadence","141 spm"
"6903","Max Run Cadence","189 spm"
"6904","Avg Stride Length","1.27 m"
"6905","title","Athens Running"
"6906","Distance","3.51 mi"
"6907","Calories Burned","502 C"
"6908","Calories Consumed","-- C"
"6909","Calories Net","-502 C"
"6910","Est. Sweat Loss","202 ml"
"6911","Fluid Consumed","-- ml"
"6912","Fluid Net","-202 ml"
"6913","Aerobic","3.0 Impacting"
"6914","Anaerobic","0.0 No Benefit"
"6915","Avg HR","152 bpm"
"6916","Max HR","164 bpm"
"6917","Time","33:47"
"6918","Moving Time","33:46"
"6919","Elapsed Time","33:47"
"6920","Avg Speed","6.2 mph"
"6921","Avg Moving Speed","6.2 mph"
"6922","Max Speed","8.2 mph"
"6923","Total Ascent","135.0 ft"
"6924","Total Descent","108.0 ft"
"6925","Min Elev","658.4 ft"
"6926","Max Elev","760.9 ft"
"6927","Avg Run Cadence","142 spm"
"6928","Max Run Cadence","152 spm"
"6929","Avg Stride Length","1.17 m"
"6930","title","Athens Running"
"6931","Distance","6.58 mi"
"6932","Calories Burned","838 C"
"6933","Calories Consumed","-- C"
"6934","Calories Net","-838 C"
"6935","Est. Sweat Loss","280 ml"
"6936","Fluid Consumed","-- ml"
"6937","Fluid Net","-280 ml"
"6938","Aerobic","4.7 Highly Impacting"
"6939","Anaerobic","0.0 No Benefit"
"6940","Avg HR","176 bpm"
"6941","Max HR","184 bpm"
"6942","Time","46:45"
"6943","Moving Time","46:27"
"6944","Elapsed Time","47:55"
"6945","Avg Speed","8.4 mph"
"6946","Avg Moving Speed","8.5 mph"
"6947","Max Speed","9.5 mph"
"6948","Total Ascent","343.3 ft"
"6949","Total Descent","281.0 ft"
"6950","Min Elev","630.0 ft"
